League;Stat;Next Match;Odds;Date;Resultado;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Bolivia Primera Division;Aurora have had BTTS in their last 6 league matches;AURORA vs independiente petrolero;1.57;03/11/2025 20:30;'2-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8967247280797707;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.57) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Aurora have had Over 2.5 Match Goals in their last 6 league matches;AURORA vs independiente petrolero;1.5;03/11/2025 20:30;'2-3;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.5) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Independiente Petrolero have had Over 2.5 Match Goals in their last 6 away league matches;INDEPENDIENTE PETROLERO vs aurora;1.5;03/11/2025 20:30;'2-3;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.5) [BONUS +15%] Previsao: MANTERA STREAK
US MLS;Minnesota United have had BTTS in their last 9 away league matches;MINNESOTA UNITED vs seattle sounders fc;1.67;04/11/2025 00:45;'4-2;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.947049392827936;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 9 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
Tunisia Primera Division;Kairouan have Lost their last 6 league matches;KAIROUAN vs as gabès;3.4;04/11/2025 10:30;'2-1;FALSO;DERROTA;MEDIA_CONFIABILIDADE;0.6502005830536434;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: DERROTA em 6 jogos (Odds: nan) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Always Ready have Won their last 6 league matches;ALWAYS READY vs san antonio bulo bulo;2.15;04/11/2025 16:00;'0-1;VERDADEIRO;VITORIA;MEDIA_CONFIABILIDADE;0.9438998447204968;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 2.15) [BONUS +15%] Previsao: MANTERA STREAK
Championship;Norwich have Lost their last 6 league matches;NORWICH vs sheffield weds;3.25;05/11/2025 16:45;'1-1;FALSO;DERROTA;MEDIA_CONFIABILIDADE;0.4011468253968254;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 3.25) [BONUS +15%] Previsao: INTERROMPERA STREAK
Championship;Southampton have had BTTS in their last 7 away league matches;SOUTHAMPTON vs qpr;1.67;05/11/2025 16:45;'1-2;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8111941273235445;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
National League;Sutton have had BTTS in their last 7 home league matches;SUTTON vs eastleigh;1.7;05/11/2025 16:45;'2-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.9224511009013456;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.7) [BONUS +15%] Previsao: MANTERA STREAK
Primera Division;Alianza Lima have had BTTS in their last 6 league matches;ALIANZA LIMA vs los chankas;1.83;05/11/2025 17:15;'1-2;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8439724881214905;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.83) [BONUS +15%] Previsao: MANTERA STREAK
Primera Division;Alianza Lima have had Over 2.5 Match Goals in their last 8 league matches;ALIANZA LIMA vs los chankas;1.95;05/11/2025 17:15;'1-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.906849984209117;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 8 jogos (Odds: 1.95) [BONUS +15%] Previsao: MANTERA STREAK
Primera Division;Los Chankas have Won their last 6 home league matches;LOS CHANKAS vs alianza lima;4.1;05/11/2025 17:15;1-2;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.6443015873015874;JOGO_FUTURO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: VITORIA em 6 jogos (Odds: 4.1) [BONUS +15%] Previsao: INTERROMPERA STREAK
