League;Stat;Next Match;Odds;Date;Resultado;Situação;Liga_Categoria;Tipo_Estatistica;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Ekstraklasa;Jagiellonia Bialystok have had BTTS in their last 7 home league matches;JAGIELLONIA BIALYSTOK vs lech poznan;1.5;04/04/2026 15:15;'0-0;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.6069000792811167;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 7 jogos (Odds: 1.50) Streak bonus: +10% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Bundesliga 2;Hertha have had BTTS in their last 6 league matches;HERTHA vs dresden;1.5;04/04/2026 15:30;'0-1;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.4426722118723297;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: BTTS em 6 jogos (Odds: 1.50) Streak bonus: +9% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Bundesliga 2;Hertha have had Over 2.5 Match Goals in their last 6 away league matches;HERTHA vs dresden;1.62;04/04/2026 15:30;'0-1;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.9237615283064587;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.62) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Pro League;Union Saint-Gilloise have Won their last 7 home league matches;UNION SAINT-GILLOISE vs st truiden;1.6;04/04/2026 15:45;'1-0;VERDADEIRO;MEDIA_CONFIABILIDADE;VITORIA;0.7075348696388633;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: VITORIA em 7 jogos (Odds: 1.60) Streak bonus: +10% Tipo bonus: +8% Previsão: MANTERÁ STREAK
Eredivisie;NEC Nijmegen have had BTTS in their last 8 away league matches;NEC NIJMEGEN vs excelsior;1.5;04/04/2026 16:00;'0-2;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.6459820940160067;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 8 jogos (Odds: 1.50) Streak bonus: +12% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Liga Pro;Orense have had BTTS in their last 6 league matches;ORENSE vs independiente del valle;2.1;04/04/2026 16:00;'2-0;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.6505951059670383;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 6 jogos (Odds: 2.10) Streak bonus: +9% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Serie A;Vasco da Gama have had BTTS in their last 6 league matches;VASCO DA GAMA vs botafogo fr;1.91;04/04/2026 21:00;1-2;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.6707907516239773;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 6 jogos (Odds: 1.91) Streak bonus: +9% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Liga MX;Leon have had Over 2.5 Match Goals in their last 6 home league matches;LEON vs atlas;1.95;04/04/2026 22:00;'2-0;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.7428652421693211;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.95) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Liga MX;Leon have had Over 2.5 Match Goals in their last 6 league matches;LEON vs atlas;1.95;04/04/2026 22:00;'2-0;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.7428652421693211;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.95) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Liga MX;Santos Laguna have had Over 2.5 Match Goals in their last 12 league matches;SANTOS LAGUNA vs america;1.67;05/04/2026 00:10;1-1;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.6372887633520998;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 12 jogos (Odds: 1.67) Streak bonus: +18% Tipo bonus: +4% Previsão: MANTERÁ STREAK
