League;Stat;Next Match;Odds;Date;Resultado;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Northern Ireland Premiership;Glenavon have had Over 2.5 Match Goals in their last 6 league matches;GLENAVON vs cliftonville;1.72;13/12/2025 12:00;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.8403535644580898;FALSO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.72) [BONUS +15%] Previsao: MANTERA STREAK
Championship;Leicester have had Over 2.5 Match Goals in their last 6 league matches;LEICESTER vs ipswich;1.91;13/12/2025 12:00;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.6307907516239774;VERDADEIRO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 1.91) [BONUS +15%] Previsao: INTERROMPERA STREAK
Championship;Middlesbrough have had BTTS in their last 7 league matches;MIDDLESBROUGH vs qpr;1.73;13/12/2025 12:00;;;BTTS;MEDIA_CONFIABILIDADE;0.7017917944992768;FALSO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 7 jogos (Odds: 1.73) [BONUS +15%] Previsao: MANTERA STREAK
Scottish League 1;Montrose have had Over 2.5 Match Goals in their last 6 home league matches;MONTROSE vs stenhousemuir;1.85;13/12/2025 12:00;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.5746969160301802;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: 1.85) [BONUS +15%] Previsao: INTERROMPERA STREAK
Championship;Watford have had BTTS in their last 7 league matches;WATFORD vs wrexham;1.73;13/12/2025 12:00;;;BTTS;MEDIA_CONFIABILIDADE;0.7017917944992768;FALSO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 7 jogos (Odds: 1.73) [BONUS +15%] Previsao: MANTERA STREAK
3. Liga;Rot-Weiss Essen have had BTTS in their last 6 league matches;ROT-WEISS ESSEN vs verl;1.5;13/12/2025 12:30;;;BTTS;MEDIA_CONFIABILIDADE;0.4026722118723297;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.5) [BONUS +15%] Previsao: INTERROMPERA STREAK
3. Liga;Rot-Weiss Essen have had BTTS in their last 8 away league matches;ROT-WEISS ESSEN vs verl;1.5;13/12/2025 12:30;;;BTTS;MEDIA_CONFIABILIDADE;0.5759820940160068;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 8 jogos (Odds: 1.5) [BONUS +15%] Previsao: INTERROMPERA STREAK
Eredivisie;Telstar have had BTTS in their last 7 home league matches;TELSTAR vs nec nijmegen;1.44;13/12/2025 12:30;;;BTTS;MEDIA_CONFIABILIDADE;0.6736170466419101;FALSO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 7 jogos (Odds: 1.44) [BONUS +15%] Previsao: MANTERA STREAK
Greek Super League;Panserraikos have Lost their last 7 league matches;PANSERRAIKOS vs ofi;1.91;13/12/2025 13:00;;;DERROTA;MEDIA_CONFIABILIDADE;0.5042037825754379;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 7 jogos (Odds: 1.91) [BONUS +15%] Previsao: INTERROMPERA STREAK
1. HNL;Lokomotiva Zagreb have had BTTS in their last 8 league matches;LOKOMOTIVA ZAGREB vs hajduk split;1.83;13/12/2025 13:45;;;BTTS;MEDIA_CONFIABILIDADE;0.5922528900938145;VERDADEIRO;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 8 jogos (Odds: 1.83) [BONUS +15%] Previsao: INTERROMPERA STREAK
Super Liga;IMT Novi Beograd have had BTTS in their last 7 league matches;IMT NOVI BEOGRAD vsželezničar pančevo;1.57;13/12/2025 14:00;;;BTTS;MEDIA_CONFIABILIDADE;0.578980234952835;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.57) [BONUS +15%] Previsao: INTERROMPERA STREAK
Fortuna Liga;Tatran Prešov have had Over 2.5 Match Goals in their last 6 home league matches;TATRAN PREŠOV vs zemplin michalovce;1.8;13/12/2025 14:00;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.5146653358080777;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: 1.8) [BONUS +15%] Previsao: INTERROMPERA STREAK
Swiss Super League;Winterthur have had Over 2.5 Match Goals in their last 8 away league matches;WINTERTHUR vs zurich;1.44;13/12/2025 14:00;;;VITORIA;MEDIA_CONFIABILIDADE;0.6423584147240804;VERDADEIRO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: VITORIA em 8 jogos (Odds: 1.44) [BONUS +15%] Previsao: INTERROMPERA STREAK
Premier League;Burnley have Lost their last 6 league matches;BURNLEY vs fulham;1.91;13/12/2025 14:30;;;DERROTA;MEDIA_CONFIABILIDADE;0.6307907516239774;VERDADEIRO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: DERROTA em 6 jogos (Odds: 1.91) [BONUS +15%] Previsao: INTERROMPERA STREAK
La Liga;FC Barcelona have Won their last 6 league matches;FC BARCELONA vs osasuna;1.2;13/12/2025 14:30;;;VITORIA;MEDIA_CONFIABILIDADE;0.7022878317560072;FALSO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: VITORIA em 6 jogos (Odds: 1.2) [BONUS +15%] Previsao: MANTERA STREAK
La Liga;FC Barcelona have Won their last 8 home league matches;FC BARCELONA vs osasuna;1.2;13/12/2025 14:30;;;VITORIA;MEDIA_CONFIABILIDADE;0.812644266699641;FALSO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 8 jogos (Odds: 1.2) [BONUS +15%] Previsao: MANTERA STREAK
La Liga;FC Barcelona have had Over 2.5 Match Goals in their last 13 league matches;FC BARCELONA vs osasuna;1.25;13/12/2025 14:30;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.731916382579443;FALSO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 13 jogos (Odds: 1.25) [BONUS +15%] Previsao: MANTERA STREAK
La Liga;FC Barcelona have had Over 2.5 Match Goals in their last 8 home league matches;FC BARCELONA vs osasuna;1.25;13/12/2025 14:30;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.816005190924833;FALSO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 8 jogos (Odds: 1.25) [BONUS +15%] Previsao: MANTERA STREAK
